a,b,c,rad_a,rad_b,rad_c,radical_abc
1,71874,71875,1,66,115,7590
13312,59049,72361,26,3,269,20982
243,72962,73205,3,382,55,63030
15625,58806,74431,5,66,217,71610
361,75264,75625,19,42,55,43890
31104,44521,75625,6,211,55,69630
1,76544,76545,1,598,105,62790
17,77824,77841,17,38,93,60078
284,77841,78125,142,93,5,66030
301,77824,78125,301,38,5,57190
507,77618,78125,39,394,5,76830
841,77284,78125,29,278,5,40310
2349,75776,78125,87,74,5,32190
9261,68864,78125,21,538,5,56490
14256,63869,78125,66,221,5,72930
29282,48843,78125,22,201,5,22110
29791,48334,78125,31,286,5,44330
36864,41261,78125,6,341,5,10230
38759,39366,78125,791,6,5,23730
16,78125,78141,2,5,1281,12810
121,78125,78246,11,5,966,53130
243,78125,78368,3,5,4898,73470
607,78125,78732,607,5,6,18210
625,78608,79233,5,34,231,39270
775,78732,79507,155,6,43,39990
4096,75411,79507,2,399,43,34314
81,79919,80000,3,1631,10,48930
4913,75087,80000,17,309,10,52530
2401,78732,81133,7,6,1027,43134
22201,59049,81250,149,3,130,58110
729,81191,81920,3,671,10,20130
1,82943,82944,1,4879,6,29274
1,83520,83521,1,870,17,14790
172,83349,83521,86,21,17,30702
577,82944,83521,577,6,17,58854
1152,82369,83521,6,287,17,29274
2401,81120,83521,7,390,17,46410
25921,57600,83521,161,30,17,82110
8192,75843,84035,2,159,35,11130
2401,81920,84321,7,10,1041,72870
6561,78608,85169,3,34,161,16422
15,85169,85184,15,161,22,53130
7168,78125,85293,14,5,39,2730
31250,54043,85293,10,187,39,72930
512,85293,85805,2,39,655,51090
2500,83349,85849,10,21,293,61530
85,87723,87808,85,57,14,67830
729,87079,87808,3,1643,14,69006
2125,85683,87808,85,39,14,46410
14641,73167,87808,11,87,14,13398
19683,68125,87808,3,545,14,22890
1681,86528,88209,41,26,33,35178
16384,71825,88209,2,1105,33,72930
729,89383,90112,3,791,22,52206
6591,83521,90112,39,17,22,14586
1,90624,90625,1,354,145,51330
32768,58357,91125,2,871,15,26130
11,91125,91136,11,15,178,29370
35,93312,93347,35,6,323,67830
8192,85849,94041,2,293,129,75594
16807,78125,94932,7,5,1758,61530
1,97199,97200,1,2627,30,78810
16807,81608,98415,7,202,15,21210
729,99127,99856,3,119,158,56406
19,99981,100000,19,483,10,91770
